date,value,indicator
1947-01-01,2182.681,US_GDP_GROWTH
1947-04-01,2176.892,US_GDP_GROWTH
1947-07-01,2172.432,US_GDP_GROWTH
1947-10-01,2206.452,US_GDP_GROWTH
1948-01-01,2239.682,US_GDP_GROWTH
1948-04-01,2276.69,US_GDP_GROWTH
1948-07-01,2289.77,US_GDP_GROWTH
1948-10-01,2292.364,US_GDP_GROWTH
1949-01-01,2260.807,US_GDP_GROWTH
1949-04-01,2253.128,US_GDP_GROWTH
1949-07-01,2276.424,US_GDP_GROWTH
1949-10-01,2257.352,US_GDP_GROWTH
1950-01-01,2346.104,US_GDP_GROWTH
1950-04-01,2417.682,US_GDP_GROWTH
1950-07-01,2511.127,US_GDP_GROWTH
1950-10-01,2559.214,US_GDP_GROWTH
1951-01-01,2593.967,US_GDP_GROWTH
1951-04-01,2638.898,US_GDP_GROWTH
1951-07-01,2693.259,US_GDP_GROWTH
1951-10-01,2699.156,US_GDP_GROWTH
1952-01-01,2727.954,US_GDP_GROWTH
1952-04-01,2733.8,US_GDP_GROWTH
1952-07-01,2753.517,US_GDP_GROWTH
1952-10-01,2843.941,US_GDP_GROWTH
1953-01-01,2896.811,US_GDP_GROWTH
1953-04-01,2919.206,US_GDP_GROWTH
1953-07-01,2902.785,US_GDP_GROWTH
1953-10-01,2858.845,US_GDP_GROWTH
1954-01-01,2845.192,US_GDP_GROWTH
1954-04-01,2848.305,US_GDP_GROWTH
1954-07-01,2880.482,US_GDP_GROWTH
1954-10-01,2936.852,US_GDP_GROWTH
1955-01-01,3020.746,US_GDP_GROWTH
1955-04-01,3069.91,US_GDP_GROWTH
1955-07-01,3111.379,US_GDP_GROWTH
1955-10-01,3130.068,US_GDP_GROWTH
1956-01-01,3117.922,US_GDP_GROWTH
1956-04-01,3143.694,US_GDP_GROWTH
1956-07-01,3140.874,US_GDP_GROWTH
1956-10-01,3192.57,US_GDP_GROWTH
1957-01-01,3213.011,US_GDP_GROWTH
1957-04-01,3205.97,US_GDP_GROWTH
1957-07-01,3237.386,US_GDP_GROWTH
1957-10-01,3203.894,US_GDP_GROWTH
1958-01-01,3120.724,US_GDP_GROWTH
1958-04-01,3141.224,US_GDP_GROWTH
1958-07-01,3213.884,US_GDP_GROWTH
1958-10-01,3289.032,US_GDP_GROWTH
1959-01-01,3352.129,US_GDP_GROWTH
1959-04-01,3427.667,US_GDP_GROWTH
1959-07-01,3430.057,US_GDP_GROWTH
1959-10-01,3439.832,US_GDP_GROWTH
1960-01-01,3517.181,US_GDP_GROWTH
1960-04-01,3498.246,US_GDP_GROWTH
1960-07-01,3515.385,US_GDP_GROWTH
1960-10-01,3470.278,US_GDP_GROWTH
1961-01-01,3493.703,US_GDP_GROWTH
1961-04-01,3553.021,US_GDP_GROWTH
1961-07-01,3621.252,US_GDP_GROWTH
1961-10-01,3692.289,US_GDP_GROWTH
1962-01-01,3758.147,US_GDP_GROWTH
1962-04-01,3792.149,US_GDP_GROWTH
1962-07-01,3838.776,US_GDP_GROWTH
1962-10-01,3851.421,US_GDP_GROWTH
1963-01-01,3893.482,US_GDP_GROWTH
1963-04-01,3937.183,US_GDP_GROWTH
1963-07-01,4023.755,US_GDP_GROWTH
1963-10-01,4050.147,US_GDP_GROWTH
1964-01-01,4135.553,US_GDP_GROWTH
1964-04-01,4180.592,US_GDP_GROWTH
1964-07-01,4245.918,US_GDP_GROWTH
1964-10-01,4259.046,US_GDP_GROWTH
1965-01-01,4362.111,US_GDP_GROWTH
1965-04-01,4417.225,US_GDP_GROWTH
1965-07-01,4515.427,US_GDP_GROWTH
1965-10-01,4619.458,US_GDP_GROWTH
1966-01-01,4731.888,US_GDP_GROWTH
1966-04-01,4748.046,US_GDP_GROWTH
1966-07-01,4788.254,US_GDP_GROWTH
1966-10-01,4827.537,US_GDP_GROWTH
1967-01-01,4870.299,US_GDP_GROWTH
1967-04-01,4873.287,US_GDP_GROWTH
1967-07-01,4919.392,US_GDP_GROWTH
1967-10-01,4956.477,US_GDP_GROWTH
1968-01-01,5057.553,US_GDP_GROWTH
1968-04-01,5142.033,US_GDP_GROWTH
1968-07-01,5181.859,US_GDP_GROWTH
1968-10-01,5202.212,US_GDP_GROWTH
1969-01-01,5283.597,US_GDP_GROWTH
1969-04-01,5299.625,US_GDP_GROWTH
1969-07-01,5334.6,US_GDP_GROWTH
1969-10-01,5308.556,US_GDP_GROWTH
1970-01-01,5300.652,US_GDP_GROWTH
1970-04-01,5308.164,US_GDP_GROWTH
1970-07-01,5357.077,US_GDP_GROWTH
1970-10-01,5299.672,US_GDP_GROWTH
1971-01-01,5443.619,US_GDP_GROWTH
